time,glir,qo
7/20/2013,54.2,165
8/14/2013,54.2,139.73
9/9/2013,54.2,138.9
10/14/2013,54.2,141
11/4/2013,54.2,139.79
1/6/2014,54.2,137.52
5/25/2014,54.2,232.28
5/26/2014,54.2,183.32
6/6/2014,54.2,135.35
10/6/2014,54.2,137.2
10/19/2014,54.2,138.82
10/23/2014,54.2,134
12/2/2014,54.2,137.26
1/26/2015,54.2,137.91
5/18/2015,54.2,138.84
5/27/2015,54.2,136.84
6/8/2015,54.2,142.91
6/15/2015,54.2,136.53
7/1/2015,54.2,137.2
7/2/2015,54.2,146.77
10/7/2015,218.2,272.13
10/9/2015,219.2,243
11/12/2015,385.2,377.59
11/13/2015,401.2,317.45
11/19/2015,315.2,317.42
11/23/2015,344.2,334.93
12/3/2015,310.2,339.01
12/23/2015,160.2,352.58
1/14/2016,228.2,382.37
2/16/2016,230.2,347.63
2/28/2016,246.2,331.45
3/12/2016,251.2,330.4
3/27/2016,208.2,263.68
4/18/2016,298.2,274.75
4/29/2016,287.2,241.49
5/21/2016,141.2,234.83
6/28/2016,275.2,230.12
7/11/2016,83.2,208.44
7/26/2016,76.9,212.52
8/12/2016,234.2,243.42
9/15/2016,249.4,259.22
9/21/2016,139.9,202.98
11/13/2016,166,221.14
11/26/2016,73.7,212.92
12/14/2016,158.6,202.37
1/11/2017,108.5,211.78
3/5/2017,177.2,206.46
4/17/2017,106.2,144.28
5/12/2017,214.2,279.77
5/17/2017,129.2,260.24
5/29/2017,134.2,192
6/15/2017,141.2,207.63
6/29/2017,142.2,429.57
7/9/2017,139.2,189.71
7/12/2017,158.2,243
7/15/2017,202.2,233.6
7/30/2017,131.2,223.6
8/9/2017,137.2,213.53
8/16/2017,533.2,287.87
8/18/2017,441.2,282.97
8/18/2017,625.2,265.7
9/26/2017,451.2,284.1
11/16/2017,185.2,275
12/23/2017,430.2,297.1
12/29/2017,454.2,275.26
1/4/2018,458.2,262.4
2/21/2018,179.2,274.5
2/23/2018,398.2,285.7
4/2/2018,416.2,234.42
4/4/2018,312.2,279.65
4/6/2018,350.2,262.4
5/19/2018,152.2,239.6
5/28/2018,160.2,236.23
5/29/2018,167.2,251.72
6/7/2018,489.2,239.1
6/28/2018,438.2,235.1
6/29/2018,309.2,256.6
7/11/2018,150.2,134
7/14/2018,332.2,327.1
7/17/2018,289.2,268.9
7/29/2018,134.2,196.3
8/13/2018,54.2,260.12
8/13/2018,54.2,238.43
8/16/2018,169.9,230.49
9/4/2018,281.2,236.7
9/16/2018,190.2,196.9
9/19/2018,54.2,197.7
10/13/2018,68.2,152.97
11/4/2018,553.2,243
11/10/2018,54.2,208
11/11/2018,676.2,187.6
11/11/2018,424.2,286.2
11/23/2018,173.2,233.7
11/24/2018,167.2,209.3
12/16/2018,169.2,209.9
12/30/2018,188.2,226.4
2/8/2019,500.2,216.4
3/15/2019,95.2,163.7
4/16/2019,120.2,198.6
4/29/2019,158.2,196.8
6/11/2019,64.2,134
6/22/2019,54.2,147.3
7/30/2019,72.2,184.4
8/4/2019,162.2,294.4
8/13/2019,142.2,196.4
9/11/2019,120.2,195.4
9/20/2019,55.2,169.1
10/16/2019,55.5,165
1/8/2020,286.2,230.1
2/18/2020,76.2,180.6
3/31/2020,54.2,135.7
4/26/2020,54.2,141
5/27/2020,54.2,134
7/17/2020,54.2,135.72
7/21/2020,469.2,204.6
7/22/2020,283.2,266.3
8/2/2020,252.4,171
9/27/2020,141.1,135
9/28/2020,146,226
10/24/2020,64.2,134.1
11/6/2020,82.2,134
11/19/2020,79.2,204
11/20/2020,145.7,134
11/24/2020,55.4,138
11/26/2020,270.1,209
12/11/2020,210.2,216
12/27/2020,171.2,208
1/29/2021,61.1,148
2/19/2021,124.2,134
2/27/2021,56.2,199
2/28/2021,189.2,499
3/1/2021,61.2,135
3/10/2021,55.6,134
4/4/2021,55.7,136
4/8/2021,56,137.39
5/14/2021,256.5,214
5/22/2021,349.1,185
6/14/2021,98.2,188
6/22/2021,66.2,146.9
6/26/2021,62.2,157.8
7/9/2021,54.3,139
7/14/2021,54.65,145
11/14/2021,54.2,139
1/24/2022,54.2,147.08
2/16/2022,55.2,142
5/9/2022,58.2,136.8
6/10/2022,58.5,148
6/11/2022,533.6,258.2
6/14/2022,321.9,237
6/30/2022,305.7,233
7/1/2022,300.9,220
7/2/2022,301.9,192
7/8/2022,298.2,247
